8/3/2021, 11:31:42 PM | INFO | return brand datadata "Zeiss" | 
8/3/2021, 11:34:32 PM | INFO | return brand datadata "Zeissas" | 
8/3/2021, 11:34:33 PM | INFO | return brand datadata "Unknown" | 
8/3/2021, 11:34:52 PM | INFO | return brand datadata "Zeissas" | 
8/3/2021, 11:34:52 PM | ERROR | return brand datadata "Zeissas" | 
8/3/2021, 11:34:52 PM | INFO | return brand datadata "Unknown" | 
8/3/2021, 11:34:52 PM | ERROR | return brand datadata "Unknown" | 
8/3/2021, 11:35:17 PM | INFO | return brand datadata "Zeiss" | 
8/3/2021, 11:35:25 PM | INFO | return brand datadata "Zeiss" | 
8/10/2021, 8:13:44 AM | INFO | return brand datadata "Zeiss" | 
8/10/2021, 4:08:21 PM | INFO | return brand datadata "Zeiss" | 
8/10/2021, 4:08:24 PM | INFO | return brand datadata "Zeiss" | 
